n,died,year,species_name,annual_mean_temp,tot_annual_pp,prior_mu
86,86,2005,Abies balsamifera,0.577333332101504,1431.33333333333,0.0845538699622135
11,4,1989,Abies balsamifera,3.24666670163472,1061.13333333333,0.0529371893485113
16,6,1985,Abies balsamifera,2.39866665204366,1184.06666666667,0.0470468160654742
2,2,1980,Abies balsamifera,-2.9006667137146,941.6,0.0405810719516916
16,14,1980,Abies balsamifera,1.44799999396006,976.333333333333,0.0405810719516916
52,0,1985,Abies balsamifera,1.61266666650772,1295.26666666667,0.0470468160654742
14,2,2003,Abies balsamifera,0.686000000188748,1447.33333333333,0.079776298364389
16,2,2008,Abies balsamifera,0.971333333353202,1425.86666666667,0.0922398232971371
10,10,1989,Abies balsamifera,1.64066665569941,1065.8,0.0529371893485113
28,10,2000,Abies balsamifera,0.368666662275791,1502.13333333333,0.0730950685539042
18,8,2005,Abies balsamifera,0.577333332101504,1410.26666666667,0.0845538699622135
10,10,2010,Abies balsamifera,0.955999985833963,1392.26666666667,0.0977313180932363
37,4,1980,Abies balsamifera,-3.6153333346049,975.466666666667,0.0405810719516916
14,14,1980,Abies balsamifera,1.42333332598209,981.466666666667,0.0405810719516916
2,0,2003,Abies balsamifera,3.02399996121724,1206.06666666667,0.079776298364389
11,0,1980,Abies balsamifera,0.858666665355365,947,0.0405810719516916
21,0,2001,Abies balsamifera,0.501333329081535,1467.93333333333,0.075259677903187
32,8,2006,Abies balsamifera,0.67599999209245,1418.46666666667,0.0870447990008203
34,24,2011,Abies balsamifera,0.992142842816455,1375,0.100592966315231
2,2,1980,Abies balsamifera,0.426666661103566,925.866666666667,0.0405810719516916
24,0,2000,Abies balsamifera,0.368666662275791,1502.13333333333,0.0730950685539042
30,0,2005,Abies balsamifera,0.577333332101504,1410.26666666667,0.0845538699622135
34,6,2010,Abies balsamifera,0.955999985833963,1392.26666666667,0.0977313180932363
12,6,1985,Abies balsamifera,2.54533333778381,1184.53333333333,0.0470468160654742
15,0,2003,Abies balsamifera,0.501999991138776,1447.33333333333,0.079776298364389
25,2,2008,Abies balsamifera,0.79133332769076,1425.86666666667,0.0922398232971371
5,0,1980,Abies balsamifera,-2.66866668860118,951.333333333333,0.0405810719516916
11,2,2002,Abies balsamifera,0.248000002404054,1454.93333333333,0.0774862090879015
21,0,2007,Abies balsamifera,0.484666668375333,1421.06666666667,0.0896061797636543
42,26,1985,Abies balsamifera,1.81199999650319,1295.26666666667,0.0470468160654742
10,0,2003,Abies balsamifera,2.04666664600372,1297.46666666667,0.079776298364389
24,8,1980,Abies balsamifera,-0.0566666603088379,1058.86666666667,0.0405810719516916
16,6,1985,Abies balsamifera,2.85800001621246,1214.53333333333,0.0470468160654742
7,0,2005,Abies balsamifera,-0.107333326836427,1431.33333333333,0.0845538699622135
18,0,2010,Abies balsamifera,0.256666668131947,1419.06666666667,0.0977313180932363
18,18,1980,Abies balsamifera,0.64399999404947,995.066666666667,0.0405810719516916
8,6,1980,Abies balsamifera,1.43000000566244,976.066666666667,0.0405810719516916
1,0,1994,Abies balsamifera,3.02999998728434,969.866666666667,0.0613204543891265
44,4,2002,Abies balsamifera,-0.189333327611287,1474.66666666667,0.0774862090879015
42,3,2007,Abies balsamifera,0.0433333377043406,1443.6,0.0896061797636543
4,2,1980,Abies balsamifera,-0.0326666622112195,903.933333333333,0.0405810719516916
5,0,2008,Abies balsamifera,0.79133332769076,1450.73333333333,0.0922398232971371
16,0,2002,Abies balsamifera,-0.189333327611287,1472.53333333333,0.0774862090879015
19,5,2007,Abies balsamifera,0.0433333377043406,1444.6,0.0896061797636543
17,6,1994,Abies balsamifera,5.26000000635783,874.2,0.0613204543891265
22,0,2001,Abies balsamifera,0.501333329081535,1484.33333333333,0.075259677903187
23,3,2006,Abies balsamifera,0.67599999209245,1441,0.0870447990008203
21,8,2011,Abies balsamifera,0.992142842816455,1401.92857142857,0.100592966315231
9,0,1980,Abies balsamifera,0.00933333039283752,972.666666666667,0.0405810719516916
2,2,1980,Abies balsamifera,0.164666672547658,983.133333333333,0.0405810719516916
17,0,2003,Abies balsamifera,3.02399996121724,1206.06666666667,0.079776298364389
18,6,1980,Abies balsamifera,-1.591999989748,1012,0.0405810719516916
8,0,2004,Abies balsamifera,0.32000000278155,1433.46666666667,0.0821316167041284
27,0,2009,Abies balsamifera,0.576666667064031,1407.86666666667,0.0949475757138162
11,0,1980,Abies balsamifera,0.236000000561277,1035.4,0.0405810719516916
29,6,1980,Abies balsamifera,-1.20066666317483,983.2,0.0405810719516916
2,2,1980,Abies balsamifera,1.13133333077033,997.333333333333,0.0405810719516916
